Author	n (strains)	publication title	journal	publication URL	strains
Bracho et al	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ESP/Valencia4/2020, partial genome	unknown	unknown	ESP/Valencia4/2020
Loureiro et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/VEN/1Z/2020, complete genome	unknown	unknown	VEN/1Z/2020
Direct Submission et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHL/Santiago-PUC_MVL_0016/2020, complete genome	unknown	unknown	CHL/Santiago-PUC_MVL_0016/2020
Vazquez et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRY/WOR12903A870_202103452_202103452_2-4754128/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	PRY/WOR12903A870_202103452_202103452_2-4754128/2021
Vazquez et al B	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRY/WOR12903A861_202103459_202103459_2-4754119/2021, complete genome	unknown	unknown	PRY/WOR12903A861_202103459_202103459_2-4754119/2021
Vazquez et al C	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRY/WOR12903A869_202103458_202103458_2-4754127/2021, complete genome	unknown	unknown	PRY/WOR12903A869_202103458_202103458_2-4754127/2021
Ren et al E	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NZL/20CV0276/2020, complete genome	unknown	unknown	NZL/20CV0276/2020
Ren et al F	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NZL/20CV0302/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	NZL/20CV0302/2020
Sait et al C	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/TAS166/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	AUS/TAS166/2020
Sait et al D	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/TAS37/2020, complete genome	unknown	unknown	AUS/TAS37/2020
