Author	n (strains)	publication title	journal	publication URL	strains
Leyton-Carcaman et al N	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHL/AR-UFRO-0496/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a gene, complete sequence; and ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	CHL/AR-UFRO-0496/2021
Leyton-Carcaman et al O	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHL/AR-UFRO-0492/2021, complete genome	unknown	unknown	CHL/AR-UFRO-0492/2021
Leyton-Carcaman et al P	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHL/AR-UFRO-0369/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	CHL/AR-UFRO-0369/2021
Leyton-Carcaman et al Q	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHL/AR-UFRO-0501/2021, complete genome	unknown	unknown	CHL/AR-UFRO-0501/2021
Leyton-Carcaman et al R	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHL/AR-UFRO-0292/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	CHL/AR-UFRO-0292/2021
Leyton-Carcaman et al S	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHL/AR-UFRO-0437/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	CHL/AR-UFRO-0437/2021
Lemieux et al O	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA-CDCBI-CRSP_TBUY465TE6IIEIRG/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	USA/MA-CDCBI-CRSP_TBUY465TE6IIEIRG/2021
Siu et al J	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/HKG/HKPU-00194/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	HongKong/HKPU-00194/2021
? U	1	Severe acute respiratory syndrome coronavirus 2 isolate hCoV-19/Switzerland/BL-ETHZ-33530048/2021 genome assembly, chromosome: 1	unknown	unknown	Switzerland/BL-ETHZ-33530048/2021
Ko et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SGP/PA_D50/2022, complete genome	unknown	unknown	SGP/PA_D50/2022
Ko et al B	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SGP/SNDE2/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	SGP/SNDE2/2021
Ko et al C	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SGP/PB_D1/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	SGP/PB_D1/2021
Ko et al D	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SGP/PB_D48/2021, complete genome	unknown	unknown	SGP/PB_D48/2021
Banu et al D	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BGD/Laila_376/2021, complete genome	unknown	unknown	BGD/Laila_376/2021
Banu et al E	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BGD/Laila_507/2021 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; and ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	BGD/Laila_507/2021
Alwasti et al J	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BHR/21342778770/2021, complete genome	unknown	unknown	BHR/21342778770/2021
Byarugaba et al N	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MUWRP-KIR210318S/2021, complete genome	unknown	unknown	UGA/MUWRP-KIR210318S/2021
Byarugaba et al O	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MUWRP-JIN210178S/2021, complete genome	unknown	unknown	UGA/MUWRP-JIN210178S/2021
Byarugaba et al P	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MUWRP-KIR210175S/2021, complete genome	unknown	unknown	UGA/MUWRP-KIR210175S/2021
Byarugaba et al Q	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MUWRP-KIR210533S/2021, complete genome	unknown	unknown	UGA/MUWRP-KIR210533S/2021
Githinji et al BB	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/SS4120/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	KEN/SS4120/2021
Githinji et al BC	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/C100181/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	KEN/C100181/2021
Byarugaba et al R	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MUWRP-KIR210110S/2021, complete genome	unknown	unknown	UGA/MUWRP-KIR210110S/2021
Githinji et al BD	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/SS1201/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	KEN/SS1201/2021
Arnold et al AI	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_C121/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	DJI/NAMRU3_C121/2021
Byarugaba et al S	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MUWRP-GUL210261/2021, complete genome	unknown	unknown	UGA/MUWRP-GUL210261/2021
Byarugaba et al T	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MUWRP-KIR210124S/2021, complete genome	unknown	unknown	UGA/MUWRP-KIR210124S/2021
Byarugaba et al U	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MUWRP-KIR210264S/2021, complete genome	unknown	unknown	UGA/MUWRP-KIR210264S/2021
Byarugaba et al V	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MUWRP-KIR210555S/2021, complete genome	unknown	unknown	UGA/MUWRP-KIR210555S/2021
Byarugaba et al W	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MUWRP-KIR210170S/2021, complete genome	unknown	unknown	UGA/MUWRP-KIR210170S/2021
Byarugaba et al X	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MUWRP-KIR210118S/2021, complete genome	unknown	unknown	UGA/MUWRP-KIR210118S/2021
Howard et al CB	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/SC-CDC-ASC210207945/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	USA/SC-CDC-ASC210207945/2021
Byarugaba et al Y	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MUWRP-GUL210379/2021, complete genome	unknown	unknown	UGA/MUWRP-GUL210379/2021
Byarugaba et al Z	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MUWRP-KIR210557S/2021, complete genome	unknown	unknown	UGA/MUWRP-KIR210557S/2021
Howard et al CC	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NH-CDC-QDX28938995/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	USA/NH-CDC-QDX28938995/2021
Lemieux et al P	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA-CDCBI-CRSP_ZG3E6HY2XVTBUJ2H/2021, complete genome	unknown	unknown	USA/MA-CDCBI-CRSP_ZG3E6HY2XVTBUJ2H/2021
Leyton-Carcaman et al T	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHL/AR-UFRO-0446/2021, complete genome	unknown	unknown	CHL/AR-UFRO-0446/2021
Roychoudhury et al R	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/Peru/PE-LMA-UW21122147811/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	Peru/PE-LMA-UW21122147811/2021
Ren et al BB	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NZL/21CH0159/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	NZL/21CH0159/2021
Howard et al CD	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NM-CDC-LC0299422/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	USA/NM-CDC-LC0299422/2021
Lemieux et al Q	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA-CDCBI-CRSP_5EC2ZCRVEB3FCSZR/2021 ORF1ab polyprotein (ORF1ab) gene, partial cds; ORF1a polyprotein (ORF1ab) gene, complete cds; surface glycoprotein (S) gene, partial cds; ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	USA/MA-CDCBI-CRSP_5EC2ZCRVEB3FCSZR/2021
Howard et al CE	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WV-CDC-ASC210115384/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	USA/WV-CDC-ASC210115384/2021
Lemieux et al R	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA-CDCBI-CRSP_S6HCKEVJY3C7K3P2/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	USA/MA-CDCBI-CRSP_S6HCKEVJY3C7K3P2/2021
Howard et al CF	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/PA-CDC-LC0223606/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) gene, complete cds	unknown	unknown	USA/PA-CDC-LC0223606/2021
Howard et al CG	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NJ-CDC-ASC210103262/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	USA/NJ-CDC-ASC210103262/2021
Howard et al CH	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX-CDC-ASC210176488/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	USA/TX-CDC-ASC210176488/2021
Howard et al CI	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GU-CDC-STM-000730177/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	USA/GU-CDC-STM-000730177/2021
Sheth et al V	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GU-CDC-2-5400912/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), and ORF7a protein (ORF7a) genes, complete cds; ORF7b (ORF7b) and ORF8 protein (ORF8) genes, partial cds; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	USA/GU-CDC-2-5400912/2021
Roychoudhury et al S	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/Argentina/UW21122520125/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	Argentina/UW21122520125/2021
Roychoudhury et al T	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/Argentina/UW21122751742/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a gene, complete sequence; and ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	Argentina/UW21122751742/2021
Roychoudhury et al U	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/Argentina/UW21123022932/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	Argentina/UW21123022932/2021
Howard et al CJ	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NY-CDC-LC0350293/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	USA/NY-CDC-LC0350293/2021
Elder et al	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/Human/USA/CA-OC-FG-090088/2021 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	USA/CA-OC-FG-090088/2021
Leyton-Carcaman et al U	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHL/AR-UFRO-0448/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	CHL/AR-UFRO-0448/2021
Leyton-Carcaman et al V	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHL/AR-UFRO-0023/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	CHL/AR-UFRO-0023/2021
Leyton-Carcaman et al W	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHL/AR-UFRO-0098/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	CHL/AR-UFRO-0098/2021
Leyton-Carcaman et al X	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHL/AR-UFRO-0375/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	CHL/AR-UFRO-0375/2021
Murillo et al C	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/COL/LIME_39127/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	COL/LIME_39127/2021
Roychoudhury et al V	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/Colombia/CO-SAN-UW21111638288/2021 ORF1ab polyprotein (ORF1ab) gene, partial cds; ORF1a polyprotein (ORF1ab) gene, complete cds; surface glycoprotein (S) gene, partial cds; ORF3a protein (ORF3a) and envelope protein (E) genes, complete cds; membrane glycoprotein (M), ORF6 protein (ORF6), and ORF7a protein (ORF7a) genes, partial cds; ORF7b (ORF7b) gene, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	Colombia/CO-SAN-UW21111638288/2021
Roychoudhury et al W	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/Colombia/CO-ANT-UW21112682564/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), and membrane glycoprotein (M) genes, complete cds; ORF6 protein (ORF6) and ORF7a protein (ORF7a) genes, partial cds; and ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	Colombia/CO-ANT-UW21112682564/2021
Roychoudhury et al X	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/Colombia/CO-ANT-UW21120525120/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	Colombia/CO-ANT-UW21120525120/2021
Howard et al CK	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/AL-CDC-LC0175630/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; nucleocapsid phosphoprotein (N) gene, complete cds; and ORF10 protein (ORF10) gene, partial cds	unknown	unknown	USA/AL-CDC-LC0175630/2021
Lemieux et al S	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VT-CDCBI-CRSP_RSLCYM54JEFODN6R/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	USA/VT-CDCBI-CRSP_RSLCYM54JEFODN6R/2021
Howard et al CL	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/DC-CDC-LC0287470/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	USA/DC-CDC-LC0287470/2021
